"Df","Chisq","p-value"
"(Intercept)",1,0.00533768851356956,0.941758780847336
"M_females",1,4.76054167451685,0.0291193826484119
"foraging.mode",2,10.3721656160445,0.00559387624072074
"M_females:foraging.mode",2,18.1045362978429,0.000117125078296244
