"Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"season",0.000814296964057698,0.000814296964057698,1,209238.461312876,0.236735124871134,0.626574698021986
"genomic.region",1.31408425125935,0.657042125629675,2,60862.8530721247,191.017474609564,2.00190179529143e-83
"continent",0.0107998701171894,0.0107998701171894,1,61035.6365803047,3.13977420233106,0.0764093726485375
"season:continent",0.105239979812735,0.105239979812735,1,209238.502524851,30.5957173636693,3.18173013032244e-08
